Processor 0:   RRRNS:	3
Processor 0:   RRRITS:	1
Processor 0:   RRRITS:	2
Processor 0:   RRRITS:	4
Processor 0:   RRR:	
Processor 0:   RRRNS:	3
Processor 0:   RRRITS:	1
Processor 0:   RRRITS:	2
Processor 0:   RRRITS:	4
Processor 0:   RRR:	
Processor 0:   RRRNS:	3
Processor 0:   RRRITS:	5
Processor 0:   RRRITS:	3
Processor 0:   RRRITS:	6
Processor 0:   RRR:	
Processor 0:   RRRNS:	3
Processor 0:   RRRITS:	5
Processor 0:   RRRITS:	3
Processor 0:   RRRITS:	6
Processor 0:   RRR:	
Processor 0:   RRRNS:	3
Processor 0:   RRRITS:	12
Processor 0:   RRRITS:	16
Processor 0:   RRRITS:	20
Processor 0:   RRR:	
Processor 0:   RRRNS:	3
Processor 0:   RRRITS:	12
Processor 0:   RRRITS:	16
Processor 0:   RRRITS:	20
Processor 0:   RRR:	
Processor 0:   RRRNS:	3
Processor 0:   RRRITS:	16
Processor 0:   RRRITS:	14
Processor 0:   RRRITS:	19
Processor 0:   RRR:	
Processor 0:   RRRNS:	3
Processor 0:   RRRITS:	16
Processor 0:   RRRITS:	14
Processor 0:   RRRITS:	19
Processor 0:   RRR:	
Processor 0:   RRRNS:	3
Processor 0:   RRRITS:	25
Processor 0:   RRRITS:	23
Processor 0:   RRRITS:	29
Processor 0:   RRR:	
Processor 0:   RRRNS:	3
Processor 0:   RRRITS:	29
Processor 0:   RRRITS:	24
Processor 0:   RRRITS:	27
Processor 0:   RRR:	
Processor 0:   RRRNS:	3
Processor 0:   RRRITS:	25
Processor 0:   RRRITS:	26
Processor 0:   RRRITS:	34
Processor 0:   RRR:	
Processor 0:   RRRNS:	3
Processor 0:   RRRITS:	25
Processor 0:   RRRITS:	23
Processor 0:   RRRITS:	33
Processor 0:   RRR:	
